Mês;Central Regulação;Unidade de saúde;Unidade de saúde/Região;Especialidade;Sub-Especialidade;Complexidade;Vagas ofertadas;Vagas não preenchidas;Perda primária;Agendamentos cancelados pelo solicitante ou rotina automática;Perda primária sem cancelamentos;Agendamentos;Compareceu;Faltantes;Perda secundária;Tempo médio de espera (Dias)
2023/10;COMPLEXO REGULADOR ESTADUAL CRE;2535939 / HOSPITAL SAO COTTOLENGO;CENTRAL;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA UROLOGIA;ALTA;8.0;8.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2023/10;COMPLEXO REGULADOR ESTADUAL CRE;2855356 / POLICLINICA ESTADUAL BRASIL BRUNO DE BASTOS NETO GOIAS;RIO VERMELHO;CARDIOLOGIA;CARDIOLOGIA PEDIÁTRICA;ALTA;11.0;11.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2023/10;COMPLEXO REGULADOR ESTADUAL CRE;7743068 / HOSPITAL ESTADUAL DE URGENCIAS GOV OTAVIO LAG SIQUEIRA HUGOL;CENTRAL;CARDIOLOGIA;(INATIVO)CARDIOLOGIA ADULTO;ALTA;10.0;10.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2023/10;COMPLEXO REGULADOR ESTADUAL CRE;7743068 / HOSPITAL ESTADUAL DE URGENCIAS GOV OTAVIO LAG SIQUEIRA HUGOL;CENTRAL;PNEUMOLOGIA;PNEUMOLOGIA GERAL;ALTA;24.0;24.0;100.0;2;91.67;0.0;0;0.0;0.0;0.0
2023/11;COMPLEXO REGULADOR ESTADUAL CRE;2535939 / HOSPITAL SAO COTTOLENGO;CENTRAL;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA UROLOGIA;ALTA;22.0;22.0;100.0;1;95.45;0.0;0;0.0;0.0;0.0
2023/11;COMPLEXO REGULADOR ESTADUAL CRE;2535939 / HOSPITAL SAO COTTOLENGO;CENTRAL;OTORRINOLARINGOLOGIA;OTORRINOLARINGOLOGIA GERAL;ALTA;18.0;18.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2023/11;COMPLEXO REGULADOR ESTADUAL CRE;2855356 / POLICLINICA ESTADUAL BRASIL BRUNO DE BASTOS NETO GOIAS;RIO VERMELHO;CARDIOLOGIA;CARDIOLOGIA PEDIÁTRICA;ALTA;22.0;22.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2023/11;COMPLEXO REGULADOR ESTADUAL CRE;7743068 / HOSPITAL ESTADUAL DE URGENCIAS GOV OTAVIO LAG SIQUEIRA HUGOL;CENTRAL;CARDIOLOGIA;(INATIVO)CARDIOLOGIA ADULTO;ALTA;22.0;21.0;95.45;1;90.91;0.0;0;0.0;0.0;0.0
2023/11;COMPLEXO REGULADOR ESTADUAL CRE;7743068 / HOSPITAL ESTADUAL DE URGENCIAS GOV OTAVIO LAG SIQUEIRA HUGOL;CENTRAL;PNEUMOLOGIA;PNEUMOLOGIA GERAL;ALTA;66.0;65.0;98.48;2;95.45;0.0;0;0.0;0.0;0.0
2023/12;COMPLEXO REGULADOR ESTADUAL CRE;2535939 / HOSPITAL SAO COTTOLENGO;CENTRAL;OTORRINOLARINGOLOGIA;OTORRINOLARINGOLOGIA GERAL;ALTA;21.0;21.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2023/12;COMPLEXO REGULADOR ESTADUAL CRE;2855356 / POLICLINICA ESTADUAL BRASIL BRUNO DE BASTOS NETO GOIAS;RIO VERMELHO;CARDIOLOGIA;CARDIOLOGIA PEDIÁTRICA;ALTA;21.0;21.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2024/04;COMPLEXO REGULADOR ESTADUAL CRE;7743068 / HOSPITAL ESTADUAL DE URGENCIAS GOV OTAVIO LAG SIQUEIRA HUGOL;CENTRAL;PNEUMOLOGIA;PNEUMOLOGIA GERAL;ALTA;2.0;2.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2338734 / HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;CENTRAL;MASTOLOGIA;MASTOLOGIA GERAL;ALTA;73.0;32.0;43.84;5;36.99;41.0;32;5.0;12.2;67.91
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2338734 / HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;CENTRAL;ODONTOLOGIA;ODONTOLOGIA PPNE ADULTO;ALTA;16.0;8.0;50.0;5;18.75;8.0;6;2.0;25.0;0.39
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2339196 / HOSPITAL ESTADUAL DA MULHER DR JURANDIR DO NASCIMENTO HEMU;CENTRAL;MASTOLOGIA;MASTOLOGIA CIRURGICA;ALTA;40.0;40.0;100.0;2;95.0;0.0;0;0.0;0.0;0.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2343525 / HOSPITAL DE CARIDADE SAO PEDRO D ALCANTARA;RIO VERMELHO;OFTALMOLOGIA;OFTALMOLOGIA CATARATA;ALTA;100.0;2.0;2.0;2;0.0;98.0;87;0.0;0.0;87.56
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2442477 / HOSPITAL MUNICIPAL HENRIQUE ANTONIO SANTILO;NORTE;OFTALMOLOGIA;OFTALMOLOGIA CATARATA;ALTA;42.0;0.0;0.0;0;0.0;42.0;31;11.0;26.19;110.38
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2535556 / HOSPITAL ESTADUAL DE JATAI DR SERAFIM DE CARVALHO;SUDOESTE II;OFTALMOLOGIA;OFTALMOLOGIA CATARATA;ALTA;75.0;73.0;97.33;4;92.0;2.0;0;0.0;0.0;27.85
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2535556 / HOSPITAL ESTADUAL DE JATAI DR SERAFIM DE CARVALHO;SUDOESTE II;OFTALMOLOGIA;OFTALMOLOGIA PTERIGIO;ALTA;25.0;23.0;92.0;0;92.0;2.0;0;0.0;0.0;28.6
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2535939 / HOSPITAL SAO COTTOLENGO;CENTRAL;OFTALMOLOGIA;OFTALMOLOGIA CATARATA;ALTA;290.0;86.0;29.66;86;0.0;204.0;116;49.0;24.02;192.98
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2535939 / HOSPITAL SAO COTTOLENGO;CENTRAL;OFTALMOLOGIA;OFTALMOLOGIA PTERIGIO;ALTA;20.0;4.0;20.0;4;0.0;16.0;1;0.0;0.0;380.82
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2589265 / HOSPITAL ESTADUAL DE ITUMBIARA SAO MARCOS;SUL;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA GERAL;ALTA;109.0;107.0;98.17;5;93.58;2.0;0;2.0;100.0;0.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2589265 / HOSPITAL ESTADUAL DE ITUMBIARA SAO MARCOS;SUL;ONCOLOGIA CLINICA;ONCOLOGIA CLÍNICA GASTROENTEROLOGIA;ALTA;6.0;6.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2653818 / HOSPITAL ESTADUAL DERMATOLOGIA SANIT COLONIA STA MARTA HDS;CENTRAL;ODONTOLOGIA;ODONTOLOGIA ENDODONTIA;ALTA;20.0;8.0;40.0;4;20.0;12.0;4;8.0;66.67;133.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2653818 / HOSPITAL ESTADUAL DERMATOLOGIA SANIT COLONIA STA MARTA HDS;CENTRAL;ODONTOLOGIA;ODONTOLOGIA ODONTOPEDIATRIA;ALTA;25.0;9.0;36.0;6;12.0;16.0;5;11.0;68.75;2.74
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2653818 / HOSPITAL ESTADUAL DERMATOLOGIA SANIT COLONIA STA MARTA HDS;CENTRAL;ODONTOLOGIA;ODONTOLOGIA PPNE ADULTO;ALTA;17.0;12.0;70.59;1;64.71;5.0;2;3.0;60.0;5.67
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2653818 / HOSPITAL ESTADUAL DERMATOLOGIA SANIT COLONIA STA MARTA HDS;CENTRAL;ODONTOLOGIA;ODONTOLOGIA PPNE INFANTIL;ALTA;25.0;25.0;100.0;1;96.0;0.0;0;0.0;0.0;0.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2653818 / HOSPITAL ESTADUAL DERMATOLOGIA SANIT COLONIA STA MARTA HDS;CENTRAL;OFTALMOLOGIA;OFTALMOLOGIA GERAL;ALTA;337.0;154.0;45.7;123;9.2;183.0;80;103.0;56.28;99.67
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2653818 / HOSPITAL ESTADUAL DERMATOLOGIA SANIT COLONIA STA MARTA HDS;CENTRAL;PSIQUIATRIA;PSIQUIATRIA GERAL;ALTA;54.0;53.0;98.15;3;92.59;1.0;1;0.0;0.0;3.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2659832 / CENTRO DE REFERENCIA EM OFTALMOLOGIA UFG;CENTRAL;OFTALMOLOGIA;OFTALMOLOGIA BLEFAROPLASTIA;ALTA;46.0;12.0;26.09;12;0.0;34.0;1;33.0;97.06;283.71
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2659832 / CENTRO DE REFERENCIA EM OFTALMOLOGIA UFG;CENTRAL;OFTALMOLOGIA;OFTALMOLOGIA CATARATA;ALTA;80.0;31.0;38.75;25;7.5;49.0;23;26.0;53.06;260.3
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2659832 / CENTRO DE REFERENCIA EM OFTALMOLOGIA UFG;CENTRAL;OFTALMOLOGIA;OFTALMOLOGIA GERAL;ALTA;987.0;367.0;37.18;367;0.0;620.0;146;463.0;74.68;167.99
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2659832 / CENTRO DE REFERENCIA EM OFTALMOLOGIA UFG;CENTRAL;OFTALMOLOGIA;OFTALMOLOGIA PTERIGIO;ALTA;30.0;8.0;26.67;8;0.0;22.0;5;17.0;77.27;379.17
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2673932 / CRER CEN EST REAB READ DR HENRIQUE SANTILLO;CENTRAL;ODONTOLOGIA;ODONTOLOGIA PPNE INFANTIL;ALTA;16.0;10.0;62.5;2;50.0;6.0;4;2.0;33.33;0.71
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2673932 / CRER CEN EST REAB READ DR HENRIQUE SANTILLO;CENTRAL;OFTALMOLOGIA;OFTALMOLOGIA REABILITAÇÃO VISUAL;ALTA;4.0;4.0;100.0;1;75.0;0.0;0;0.0;0.0;0.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2673932 / CRER CEN EST REAB READ DR HENRIQUE SANTILLO;CENTRAL;ONCOLOGIA CLINICA;ONCOLOGIA CLÍNICA ORTOPEDIA;ALTA;5.0;0.0;0.0;0;0.0;5.0;3;2.0;40.0;73.57
2024/08;COMPLEXO REGULADOR MUNICIPAL DE RIO VERDE;2814218 / HOSPITAL DO CANCER DE RIO VERDE;SUDOESTE I;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA COLOPROCTOLOGIA;ALTA;15.0;14.0;93.33;0;93.33;1.0;0;0.0;0.0;0.0
2024/08;COMPLEXO REGULADOR MUNICIPAL DE RIO VERDE;2814218 / HOSPITAL DO CANCER DE RIO VERDE;SUDOESTE I;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA DERMATOLOGIA;ALTA;10.0;7.0;70.0;0;70.0;3.0;0;0.0;0.0;0.0
2024/08;COMPLEXO REGULADOR MUNICIPAL DE RIO VERDE;2814218 / HOSPITAL DO CANCER DE RIO VERDE;SUDOESTE I;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA GERAL;ALTA;35.0;24.0;68.57;0;68.57;11.0;0;1.0;9.09;0.0
2024/08;COMPLEXO REGULADOR MUNICIPAL DE RIO VERDE;2814218 / HOSPITAL DO CANCER DE RIO VERDE;SUDOESTE I;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA GINECOLOGIA;ALTA;9.0;0.0;0.0;0;0.0;9.0;0;0.0;0.0;0.0
2024/08;COMPLEXO REGULADOR MUNICIPAL DE RIO VERDE;2814218 / HOSPITAL DO CANCER DE RIO VERDE;SUDOESTE I;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA MASTOLOGIA;ALTA;15.0;11.0;73.33;0;73.33;4.0;0;0.0;0.0;0.0
2024/08;COMPLEXO REGULADOR MUNICIPAL DE RIO VERDE;2814218 / HOSPITAL DO CANCER DE RIO VERDE;SUDOESTE I;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA UROLOGIA;ALTA;30.0;24.0;80.0;0;80.0;6.0;0;0.0;0.0;0.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2814382 / POLICLINICA ESTADUAL DA REGIAO DO ENTORNO FORMOSA;ENTORNO NORTE;OFTALMOLOGIA;OFTALMOLOGIA GERAL;MEDIA;54.0;21.0;38.89;17;7.41;33.0;13;9.0;27.27;273.31
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;2814382 / POLICLINICA ESTADUAL DA REGIAO DO ENTORNO FORMOSA;ENTORNO NORTE;OFTALMOLOGIA;OFTALMOLOGIA TESTE DO OLHINHO;MEDIA;2.0;2.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;3122468 / INSTITUTO DE OLHOS AGUAS LINDAS;ENTORNO SUL;OFTALMOLOGIA;OFTALMOLOGIA CATARATA;ALTA;100.0;97.0;97.0;1;96.0;3.0;1;2.0;66.67;456.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;3122468 / INSTITUTO DE OLHOS AGUAS LINDAS;ENTORNO SUL;OFTALMOLOGIA;OFTALMOLOGIA GERAL;ALTA;165.0;14.0;8.48;14;0.0;151.0;47;104.0;68.87;394.77
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;4181727 / HOSPITAL DE OLHOS;ENTORNO SUL;OFTALMOLOGIA;OFTALMOLOGIA CATARATA;ALTA;225.0;224.0;99.56;1;99.11;1.0;0;1.0;100.0;450.5
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;4181727 / HOSPITAL DE OLHOS;ENTORNO SUL;OFTALMOLOGIA;OFTALMOLOGIA PTERIGIO;ALTA;225.0;225.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;48305 / POLICLINICA ESTADUAL DA REGIAO NORDESTE POSSE;NORDESTE II;ODONTOLOGIA;ODONTOLOGIA PPNE INFANTIL;MEDIA;72.0;72.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;48305 / POLICLINICA ESTADUAL DA REGIAO NORDESTE POSSE;NORDESTE II;OFTALMOLOGIA;OFTALMOLOGIA GERAL;MEDIA;89.0;23.0;25.84;23;0.0;66.0;0;66.0;100.0;190.72
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;547484 / HOSPITAL ESTADUAL DO CENTRO NORTE GOIANO;SERRA DA MESA;CIRURGIA PEDIATRICA;CIRURGIA PEDIATRICA GERAL;ALTA;69.0;62.0;89.86;23;56.52;7.0;4;2.0;28.57;28.37
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;547484 / HOSPITAL ESTADUAL DO CENTRO NORTE GOIANO;SERRA DA MESA;MASTOLOGIA;MASTOLOGIA GERAL;ALTA;20.0;20.0;100.0;4;80.0;0.0;0;0.0;0.0;20.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;547484 / HOSPITAL ESTADUAL DO CENTRO NORTE GOIANO;SERRA DA MESA;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA COLOPROCTOLOGIA;ALTA;15.0;12.0;80.0;0;80.0;3.0;3;0.0;0.0;0.67
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;547484 / HOSPITAL ESTADUAL DO CENTRO NORTE GOIANO;SERRA DA MESA;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA DERMATOLOGIA;ALTA;25.0;5.0;20.0;3;8.0;20.0;14;4.0;20.0;1.74
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;547484 / HOSPITAL ESTADUAL DO CENTRO NORTE GOIANO;SERRA DA MESA;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA GERAL;ALTA;160.0;146.0;91.25;2;90.0;14.0;8;6.0;42.86;3.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;547484 / HOSPITAL ESTADUAL DO CENTRO NORTE GOIANO;SERRA DA MESA;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA GINECOLOGIA;ALTA;25.0;20.0;80.0;3;68.0;5.0;4;1.0;20.0;2.75
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;547484 / HOSPITAL ESTADUAL DO CENTRO NORTE GOIANO;SERRA DA MESA;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA MASTOLOGIA;ALTA;15.0;11.0;73.33;1;66.67;4.0;4;0.0;0.0;3.11
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;547484 / HOSPITAL ESTADUAL DO CENTRO NORTE GOIANO;SERRA DA MESA;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA UROLOGIA;ALTA;35.0;21.0;60.0;2;54.29;14.0;12;0.0;0.0;2.86
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;547484 / HOSPITAL ESTADUAL DO CENTRO NORTE GOIANO;SERRA DA MESA;ONCOLOGIA CLINICA;ONCOLOGIA CLÍNICA GASTROENTEROLOGIA;ALTA;15.0;9.0;60.0;0;60.0;6.0;6;0.0;0.0;2.5
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;7532024 / HOSPITAL PADRE TIAGO NA PROVIDENCIA DE DEUS;SUDOESTE II;MASTOLOGIA;MASTOLOGIA CIRURGICA;ALTA;4.0;1.0;25.0;1;0.0;3.0;3;0.0;0.0;33.2
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;7532024 / HOSPITAL PADRE TIAGO NA PROVIDENCIA DE DEUS;SUDOESTE II;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA COLOPROCTOLOGIA;ALTA;4.0;0.0;0.0;0;0.0;4.0;4;0.0;0.0;1.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;7532024 / HOSPITAL PADRE TIAGO NA PROVIDENCIA DE DEUS;SUDOESTE II;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA DERMATOLOGIA;ALTA;16.0;8.0;50.0;0;50.0;8.0;8;0.0;0.0;3.4
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;7532024 / HOSPITAL PADRE TIAGO NA PROVIDENCIA DE DEUS;SUDOESTE II;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA GERAL;ALTA;24.0;18.0;75.0;1;70.83;6.0;6;0.0;0.0;4.43
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;7532024 / HOSPITAL PADRE TIAGO NA PROVIDENCIA DE DEUS;SUDOESTE II;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA MASTOLOGIA;ALTA;12.0;7.0;58.33;0;58.33;5.0;5;0.0;0.0;3.4
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;7532024 / HOSPITAL PADRE TIAGO NA PROVIDENCIA DE DEUS;SUDOESTE II;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA UROLOGIA;ALTA;6.0;0.0;0.0;0;0.0;6.0;5;1.0;16.67;5.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;7532024 / HOSPITAL PADRE TIAGO NA PROVIDENCIA DE DEUS;SUDOESTE II;ONCOLOGIA CLINICA;ONCOLOGIA CLÍNICA GASTROENTEROLOGIA;ALTA;6.0;4.0;66.67;3;16.67;2.0;1;1.0;50.0;1.75
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;7743068 / HOSPITAL ESTADUAL DE URGENCIAS GOV OTAVIO LAG SIQUEIRA HUGOL;CENTRAL;CARDIOLOGIA;CARDIOLOGIA CATETERISMO;ALTA;2.0;0.0;0.0;0;0.0;2.0;1;1.0;50.0;29.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;7772173 / COMPLEXO DE REFE ESTADUAL SAUDE MENTAL PROF JAMIL ISSY CRESM;CENTRO SUL;PSIQUIATRIA;PSIQUIATRIA  INFANTO JUVENIL;ALTA;27.0;27.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;7772173 / COMPLEXO DE REFE ESTADUAL SAUDE MENTAL PROF JAMIL ISSY CRESM;CENTRO SUL;PSIQUIATRIA;PSIQUIATRIA ALCOOL E DROGAS;ALTA;62.0;28.0;45.16;28;0.0;34.0;15;19.0;55.88;82.59
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;7772173 / COMPLEXO DE REFE ESTADUAL SAUDE MENTAL PROF JAMIL ISSY CRESM;CENTRO SUL;PSIQUIATRIA;PSIQUIATRIA GERAL;ALTA;82.0;61.0;74.39;13;58.54;21.0;9;12.0;57.14;5.62
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;9138625 / CENTRO ATEN PROLONGADA CASA APOIO COND SOLIDARIEDADE CEAPSOL;CENTRAL;ODONTOLOGIA;ODONTOLOGIA GERAL;ALTA;23.0;23.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;9138625 / CENTRO ATEN PROLONGADA CASA APOIO COND SOLIDARIEDADE CEAPSOL;CENTRAL;PSIQUIATRIA;PSIQUIATRIA GERAL;ALTA;4.0;4.0;100.0;1;75.0;0.0;0;0.0;0.0;0.0
2024/08;COMPLEXO REGULADOR ESTADUAL CRE;965324 / HOSPITAL ESTADUAL DA CRIANCA E DO ADOLESCENTE HECAD;CENTRAL;CIRURGIA PEDIATRICA;CIRURGIA PEDIATRICA GERAL;ALTA;120.0;36.0;30.0;26;8.33;84.0;63;21.0;25.0;142.14
2024/09;COMPLEXO REGULADOR ESTADUAL CRE;2337517 / HOSPITAL ORTOPEDICO DE CERES;SAO PATRICIO I;CIRURGIA;CIRURGIA GERAL;ALTA;120.0;81.0;67.5;41;33.33;39.0;0;12.0;30.77;43.1
2024/09;COMPLEXO REGULADOR ESTADUAL CRE;2337517 / HOSPITAL ORTOPEDICO DE CERES;SAO PATRICIO I;ORTOPEDIA E TRAUMATOLOGIA;ORTOPEDIA E TRAUMATOLOGIA GERAL;ALTA;80.0;21.0;26.25;9;15.0;59.0;0;21.0;35.59;8.17
2024/09;COMPLEXO REGULADOR ESTADUAL CRE;2337517 / HOSPITAL ORTOPEDICO DE CERES;SAO PATRICIO I;ORTOPEDIA E TRAUMATOLOGIA;ORTOPEDIA E TRAUMATOLOGIA JOELHO;ALTA;190.0;159.0;83.68;37;64.21;31.0;0;11.0;35.48;79.92
2024/09;COMPLEXO REGULADOR ESTADUAL CRE;2337517 / HOSPITAL ORTOPEDICO DE CERES;SAO PATRICIO I;ORTOPEDIA E TRAUMATOLOGIA;ORTOPEDIA E TRAUMATOLOGIA MÃO E PUNHO;ALTA;20.0;20.0;100.0;1;95.0;0.0;0;0.0;0.0;48.67
2024/09;COMPLEXO REGULADOR ESTADUAL CRE;2337517 / HOSPITAL ORTOPEDICO DE CERES;SAO PATRICIO I;ORTOPEDIA E TRAUMATOLOGIA;ORTOPEDIA E TRAUMATOLOGIA QUADRIL;ALTA;50.0;49.0;98.0;1;96.0;1.0;0;1.0;100.0;5.0
2024/09;COMPLEXO REGULADOR ESTADUAL CRE;2337517 / HOSPITAL ORTOPEDICO DE CERES;SAO PATRICIO I;UROLOGIA;UROLOGIA GERAL;ALTA;120.0;39.0;32.5;12;22.5;81.0;0;29.0;35.8;168.86
2024/09;COMPLEXO REGULADOR REGIONAL SAO PATRICIO;2337576 / HOSPITAL SAO PIO X;SAO PATRICIO I;CIRURGIA;CIRURGIA GERAL;ALTA;26.0;25.0;96.15;0;96.15;1.0;0;1.0;100.0;0.0
2024/09;COMPLEXO REGULADOR REGIONAL SAO PATRICIO;2337576 / HOSPITAL SAO PIO X;SAO PATRICIO I;GINECOLOGIA;GINECOLOGIA CIRURGICA;ALTA;45.0;29.0;64.44;6;51.11;16.0;14;2.0;12.5;0.0
2024/09;COMPLEXO REGULADOR ESTADUAL CRE;2338262 / HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIRO CRUZ HUGO;CENTRAL;CARDIOLOGIA;CARDIOLOGIA GERAL;ALTA;20.0;6.0;30.0;3;15.0;14.0;0;0.0;0.0;56.68
2024/09;COMPLEXO REGULADOR ESTADUAL CRE;2338262 / HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIRO CRUZ HUGO;CENTRAL;CIRURGIA;CIRURGIA GERAL;ALTA;36.0;13.0;36.11;7;16.67;23.0;0;1.0;4.35;111.46
2024/09;COMPLEXO REGULADOR ESTADUAL CRE;2338262 / HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIRO CRUZ HUGO;CENTRAL;CIRURGIA TORACICA;CIRURGIA TORACICA GERAL;ALTA;4.0;2.0;50.0;2;0.0;2.0;0;0.0;0.0;271.0
2024/09;COMPLEXO REGULADOR ESTADUAL CRE;2338262 / HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIRO CRUZ HUGO;CENTRAL;ENDOCRINOLOGIA E METABOLOGIA;ENDOCRINOLOGIA E METABOLOGIA GERAL;ALTA;5.0;0.0;0.0;0;0.0;5.0;0;0.0;0.0;683.0
2024/09;COMPLEXO REGULADOR ESTADUAL CRE;2338262 / HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIRO CRUZ HUGO;CENTRAL;GASTROENTEROLOGIA;GASTROENTEROLOGIA GERAL;ALTA;4.0;1.0;25.0;1;0.0;3.0;0;0.0;0.0;365.8
2024/09;COMPLEXO REGULADOR ESTADUAL CRE;2338262 / HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIRO CRUZ HUGO;CENTRAL;GERIATRIA;GERIATRIA GERAL;ALTA;13.0;13.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2024/09;COMPLEXO REGULADOR ESTADUAL CRE;2338262 / HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIRO CRUZ HUGO;CENTRAL;HEMATOLOGIA;HEMATOLOGIA GERAL;ALTA;4.0;1.0;25.0;0;25.0;3.0;0;0.0;0.0;258.83
2024/09;COMPLEXO REGULADOR ESTADUAL CRE;2338262 / HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIRO CRUZ HUGO;CENTRAL;NEUROCIRURGIA;NEUROCIRURGIA GERAL;ALTA;13.0;4.0;30.77;3;7.69;9.0;0;0.0;0.0;294.11
2024/09;COMPLEXO REGULADOR ESTADUAL CRE;2338262 / HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIRO CRUZ HUGO;CENTRAL;NEUROLOGIA;NEUROLOGIA GERAL;ALTA;12.0;4.0;33.33;4;0.0;8.0;0;0.0;0.0;494.16
2024/09;COMPLEXO REGULADOR ESTADUAL CRE;2338262 / HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIRO CRUZ HUGO;CENTRAL;PNEUMOLOGIA;PNEUMOLOGIA GERAL;ALTA;4.0;2.0;50.0;2;0.0;2.0;0;0.0;0.0;74.67
2024/09;COMPLEXO REGULADOR ESTADUAL CRE;2338262 / HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIRO CRUZ HUGO;CENTRAL;UROLOGIA;UROLOGIA GERAL;ALTA;8.0;2.0;25.0;2;0.0;6.0;0;0.0;0.0;259.41
