Mês;Especialidade;Dias em fila;Em fila;Tempo médio de espera (Dias);Procedimentos realizados
2025/12;CIRURGIA VASCULAR/7;424;1;424.0;0
2026/02;ORTOPEDIA/COLUNA (BLOQUEIOS);457;7;65.29;0
2026/04;ORTOPEDIA/PÉ E TORNOZELO;23;1;23.0;0
2023/02;CIRURGIA CARDÍACA - ADULTO/MARCAPASSO;81;2;40.5;0
2023/12;CIRURGIA PLÁSTICA/6;445;4;111.25;0
2023/10;NEUROCIRURGIA;240;1;240.0;24
2025/11;ONCOLOGIA/UROLOGIA;240;6;40.0;0
2024/09;ORTOPEDIA/6;347;3;115.67;0
2023/02;ORTOPEDIA/COLUNA (BLOQUEIOS);0;1;0.0;0
2025/07;ODONTOLOGIA PARA PACIENTES COM NECESSIDADES ESPECIAIS;966;30;32.2;24
2025/04;CIRURGIA PEDIÁTRICA;3044;39;78.05;119
2026/02;ORTOPEDIA/4;682;9;75.78;0
2026/09;ORTOPEDIA/OMBRO E COTOVELO;103;8;12.88;0
2026/04;ORTOPEDIA/REVISÃO JOELHO;2547;3;849.0;0
2026/08;OFTALMOLOGIA/HOSPITALAR - OE;4200;13;323.08;0
2025/09;CIRURGIA PLÁSTICA/GERAL;85;1;85.0;0
2025/03;OTORRINOLARINGOLOGIA/IMPLANTE COCLEAR;339;3;113.0;0
2023/01;ORTOPEDIA/6;0;1;0.0;0
2026/01;ORTOPEDIA/QUADRIL PEDIÁTRICA;1321;7;188.71;0
2023/01;COLOPROCTOLOGIA/1;164;14;11.71;0
2024/10;CIRURGIA PEDIÁTRICA/3;681;4;170.25;0
2024/11;MASTOLOGIA/5;379;9;42.11;0
2023/02;NEUROCIRURGIA/5;18;2;9.0;0
2026/01;OTORRINOLARINGOLOGIA/5;195;1;195.0;0
2024/03;CIRURGIA TORÁCICA;0;3;0.0;5
2024/09;GINECOLOGIA/8;20;1;20.0;0
2023/08;CIRURGIA GERAL/5;313;6;52.17;0
2026/04;ONCOLOGIA/CIRURGIA GERAL;146;17;8.59;0
2023/07;ORTOPEDIA/TUMOR;518;12;43.17;0
2025/11;NEUROCIRURGIA/5;1902;2;951.0;0
2023/11;CIRURGIA TORÁCICA/2;288;7;41.14;0
2025/10;UROLOGIA/GERAL;23772;198;120.06;0
2025/05;GINECOLOGIA;17508;321;54.54;400
2026/04;OTORRINOLARINGOLOGIA/5;482;1;482.0;0
2026/06;CIRURGIA CARDÍACA - PEDIATRICA/CIRURGIA CARDÍACA;845;5;169.0;0
2025/12;CIRURGIA GERAL/FIGADO E VIAS BILIARES;1061;46;23.07;0
2025/11;ORTOPEDIA/3;15;3;5.0;0
2023/08;PROGRAMA TRANSEXUALIZADOR;322;3;107.33;3
2024/01;CIRURGIA PEDIÁTRICA/3;3430;16;214.38;0
2025/02;COLOPROCTOLOGIA/2;642;8;80.25;0
2025/07;CIRURGIA GERAL/2;109;8;13.63;0
2025/03;ONCOLOGIA/DERMATOLOGIA;1810;58;31.21;0
2026/09;CIRURGIA GERAL/4;5536;90;61.51;0
2024/03;BUCOMAXILOFACIAL/GERAL;431;14;30.79;0
2025/07;ONCOLOGIA/CIRURGIA GERAL;202;17;11.88;0
2023/04;ORTOPEDIA/COLUNA (BLOQUEIOS);146;2;73.0;0
2023/11;ORTOPEDIA/REVISÃO JOELHO;1;2;0.5;0
2023/08;GINECOLOGIA/4;28;2;14.0;0
2024/12;ONCOLOGIA/GINECOLOGIA;269;10;26.9;0
2024/01;COLOPROCTOLOGIA/2;97;4;24.25;0
2025/12;OFTALMOLOGIA/AMBULATORIAL - OD;12060;143;84.34;0
2026/06;UROLOGIA/6;442;2;221.0;0
2023/02;CIRURGIA GERAL/FIGADO E VIAS BILIARES;100;4;25.0;0
2023/07;CIRURGIA VASCULAR/5;18;1;18.0;0
2024/11;UROLOGIA/RETIRADA DE DUPLO J;2027;119;17.03;0
2025/12;ONCOLOGIA;4663;73;63.88;147
2026/02;CIRURGIA GERAL/2;186;5;37.2;0
2023/12;PROGRAMA TRANSEXUALIZADOR;628;5;125.6;5
2024/11;OTORRINOLARINGOLOGIA/NARIZ 1;195;9;21.67;0
2025/10;ORTOPEDIA/JOELHO (ARTROSCOPIAS);12387;58;213.57;0
2023/01;CIRURGIA CARDÍACA - ANGIOPLASTIA;72;10;7.2;7
2026/04;ORTOPEDIA/3;6;2;3.0;0
2023/07;CIRURGIA PEDIÁTRICA/1;2317;66;35.11;0
2024/05;CIRURGIA VASCULAR/1;0;11;0.0;0
2024/03;ORTOPEDIA/QUADRIL;4024;108;37.26;0
2025/12;CIRURGIA GERAL/7;4249;10;424.9;0
2025/07;UROLOGIA/RETIRADA DE DUPLO J;3482;165;21.1;0
2023/04;UROLOGIA/LITIASE;358;20;17.9;0
2023/09;GINECOLOGIA/4;59;2;29.5;0
2025/12;ORTOPEDIA/11;689;1;689.0;0
2026/09;OFTALMOLOGIA/AMBULATORIAL - OE;207450;1326;156.45;0
2024/01;ORTOPEDIA/7;401;3;133.67;0
2023/08;ONCOLOGIA/MASTOLOGIA;148;9;16.44;0
2025/06;ORTOPEDIA/QUADRIL PEDIÁTRICA;2451;6;408.5;0
2026/08;ONCOLOGIA PEDIATRICA;168;29;5.79;28
2025/12;GINECOLOGIA/4;494;2;247.0;0
2023/10;CIRURGIA PLÁSTICA/1;357;9;39.67;0
2025/03;ORTOPEDIA/ARTROPLASTIA;303;1;303.0;0
2025/05;CIRURGIA GERAL;40247;1026;39.23;1144
2024/03;MASTOLOGIA/2;3;1;3.0;0
2025/06;CIRURGIA DE CABEÇA E PESCOÇO/1;129;1;129.0;0
2025/06;GINECOLOGIA/1;49;2;24.5;0
2026/01;ORTOPEDIA/ARTROPLASTIA;331;1;331.0;0
2025/06;UROLOGIA/GERAL;13824;149;92.78;0
2026/07;ORTOPEDIA/PLEXO BRAQUIAL;792;2;396.0;0
2026/09;ORTOPEDIA/MÃO E PUNHO;56;6;9.33;0
2026/09;NEUROCIRURGIA/4;12789;47;272.11;0
2024/11;CIRURGIA GERAL/8;62;3;20.67;0
2025/01;ONCOLOGIA/CIRURGIA GERAL;292;10;29.2;0
2025/11;COLOPROCTOLOGIA;2151;23;93.52;44
2023/03;CIRURGIA VASCULAR/7;0;1;0.0;0
2024/11;CARDIOLOGIA;24;3;8.0;3
2024/05;OTORRINOLARINGOLOGIA;1138;33;34.48;109
2025/06;OTORRINOLARINGOLOGIA/2;134;1;134.0;0
2025/03;ORTOPEDIA/COLUNA (BLOQUEIOS);60;4;15.0;0
2025/02;OTORRINOLARINGOLOGIA/OUVIDO 3;408;3;136.0;0
2024/02;ORTOPEDIA/MÃO;759;76;9.99;0
2025/06;CIRURGIA PLÁSTICA/6;934;7;133.43;0
2023/05;CERFIS/1;279;8;34.88;0
2023/02;CIRURGIA GERAL/PAREDE E CAVIDADE ABDOMINAL;611;22;27.77;0
2026/05;UROLOGIA/2;3198;13;246.0;0
2024/08;OTORRINOLARINGOLOGIA/OUVIDO 1;518;7;74.0;0
2025/06;OTORRINOLARINGOLOGIA/1;1206;14;86.14;0
2026/02;COLOPROCTOLOGIA/1;1011;23;43.96;0
2026/09;CIRURGIA PLÁSTICA/3;445;5;89.0;0
2024/11;CIRURGIA GERAL/7;1251;4;312.75;0
2023/12;OFTALMOLOGIA/OD;15751;345;45.66;0
2025/06;ORTOPEDIA/RETIRADA DE MATERIAL SÍNTESE;677;30;22.57;0
2026/03;CERFIS/2;136;11;12.36;0
2026/05;OTORRINOLARINGOLOGIA/OUVIDO 3;401;2;200.5;0
2024/06;GINECOLOGIA/6;1159;5;231.8;0
2026/06;OTORRINOLARINGOLOGIA/CAVIDADE ORAL;1134;49;23.14;0
2024/09;ORTOPEDIA/7;667;4;166.75;0
2024/01;CIRURGIA GERAL/PAREDE E CAVIDADE ABDOMINAL;1861;38;48.97;0
2023/04;CIRURGIA GERAL/7;68;1;68.0;0
2024/01;CIRURGIA PLÁSTICA/GERAL;193;2;96.5;0
2023/01;OFTALMOLOGIA/PTERIGIO OD;366;125;2.93;0
2026/05;OFTALMOLOGIA/AMBULATORIAL - OD;24659;259;95.21;0
2026/05;UROLOGIA/4;562;7;80.29;0
2025/11;UROLOGIA/TROCA DE DUPLO J;1796;41;43.8;0
2025/08;CIRURGIA PLÁSTICA/5;2026;3;675.33;0
2026/02;CIRURGIA GERAL/5;1208;6;201.33;0
2023/09;CIRURGIA VASCULAR;6253;99;63.16;172
2023/06;CIRURGIA GERAL/1;23;2;11.5;0
2025/09;UROLOGIA;3893;86;45.27;452
2023/04;ORTOPEDIA/JOELHO (ARTROSCOPIAS);959;31;30.94;0
2024/06;CIRURGIA TORÁCICA/3;804;5;160.8;0
2025/02;UROLOGIA;11217;151;74.28;468
2024/05;BUCOMAXILOFACIAL/ORTOGNÁTICA;595;9;66.11;0
2025/01;CIRURGIA TORÁCICA/3;2318;7;331.14;0
2024/12;ORTOPEDIA/PEDIÁTRICA GERAL;1678;11;152.55;0
2026/05;ORTOPEDIA/7;1905;7;272.14;0
2026/07;CIRURGIA GERAL/2;138;3;46.0;0
2023/10;OFTALMOLOGIA/OE;22263;359;62.01;0
2026/09;ORTOPEDIA/JOELHO;77375;222;348.54;0
2024/01;ORTOPEDIA/GERAL;940;121;7.77;0
2025/12;PROGRAMA TRANSEXUALIZADOR/CIRURGIA PLÁSTICA;155;1;155.0;0
2023/08;CIRURGIA PEDIÁTRICA/2;1851;16;115.69;0
2024/03;UROLOGIA/5;1148;13;88.31;0
2025/03;GINECOLOGIA/8;9;1;9.0;0
2026/02;NEUROCIRURGIA/4;772;4;193.0;0
2023/08;CIRURGIA VASCULAR;5253;93;56.48;154
2025/07;MASTOLOGIA/5;39;1;39.0;0
2024/10;OTORRINOLARINGOLOGIA/4;1554;6;259.0;0
2024/10;ORTOPEDIA/OMBRO;1522;57;26.7;0
2025/05;OTORRINOLARINGOLOGIA/OUVIDO 1;457;10;45.7;0
2023/12;OFTALMOLOGIA/PTERIGIO OD;137;119;1.15;0
2026/09;CIRURGIA VASCULAR;174885;881;198.51;167
2026/02;UROLOGIA/8;1337;11;121.55;0
2023/04;CIRURGIA GERAL/10;81;1;81.0;0
